,extraction_date,round,name,club,position,fantasy_value,fantasy_position_group,minutes,man_of_match,meters_carried,defenders_beaten,offloads,tries,assists,conversions,penalties,drop_goals,scrum_wins,kick_50_22,tackles,breakdown_steals,lineout_steals,penalties_conceded,yellow_cards,red_cards,points,,
173,10/02/2025,2,C. Frawley,Ireland,Fly-Half,,,,,,,,,,,,,,,,,,,,,,,
174,10/02/2025,2,F. Burke,Scotland,Fly-Half,,,,,,,,,,,,,,,,,,,,,,,
175,10/02/2025,2,A. Lozowski,England,Centre,,,,,,,,,,,,,,,,,,,,,,,
176,10/02/2025,2,T. Plumtree,Wales,Back Row,,,,,,,,,,,,,,,,,,,,,,,
177,10/02/2025,2,B. Spencer,England,Scrum-Half,,,,,,,,,,,,,,,,,,,,,,,
178,10/02/2025,2,J. Osborne,Ireland,Centre,,,,,,,,,,,,,,,,,,,,,,,
179,10/02/2025,2,G. Zilocchi,Italy,Prop,,,,,,,,,,,,,,,,,,,,,,,
180,10/02/2025,2,L. Marin,Italy,Fly-Half,,,,,,,,,,,,,,,,,,,,,,,
181,10/02/2025,2,O. Beard,England,Centre,,,,,,,,,,,,,,,,,,,,,,,
182,10/02/2025,2,R. Hutchinson,Scotland,Centre,,,,,,,,,,,,,,,,,,,,,,,
183,10/02/2025,2,R. Slimani,France,Prop,,,,,,,,,,,,,,,,,,,,,,,
184,10/02/2025,2,M. Currie,Scotland,Centre,,,,,,,,,,,,,,,,,,,,,,,
185,10/02/2025,2,L. Le Brun,France,Fly-Half,,,,,,,,,,,,,,,,,,,,,,,
186,10/02/2025,2,G. McCarthy,Ireland,Hooker,,,,,,,,,,,,,,,,,,,,,,,
187,10/02/2025,2,C. Tiberghien,France,Back Three,,,,,,,,,,,,,,,,,,,,,,,
188,10/02/2025,2,C. Blade,Ireland,Scrum-Half,,,,,,,,,,,,,,,,,,,,,,,
189,10/02/2025,2,P. Harrison,Scotland,Hooker,,,,,,,,,,,,,,,,,,,,,,,
190,10/02/2025,2,M. Zanon,Italy,Centre,,,,,,,,,,,,,,,,,,,,,,,
191,10/02/2025,2,M. Halagahu,France,Second Row,,,,,,,,,,,,,,,,,,,,,,,
192,10/02/2025,2,B. Rodd,England,Prop,,,,,,,,,,,,,,,,,,,,,,,
193,10/02/2025,2,M. Gazzotti,France,Back Row,,,,,,,,,,,,,,,,,,,,,,,
194,10/02/2025,2,G. Beria,France,Prop,,,,,,,,,,,,,,,,,,,,,,,
195,10/02/2025,2,J. Mann,Scotland,Back Row,,,,,,,,,,,,,,,,,,,,,,,
196,10/02/2025,2,M. Sykes,Scotland,Second Row,,,,,,,,,,,,,,,,,,,,,,,
197,10/02/2025,2,E. Abadie,France,Back Row,,,,,,,,,,,,,,,,,,,,,,,
198,10/02/2025,2,L. Nouchi,France,Back Row,,,,,,,,,,,,,,,,,,,,,,,
199,10/02/2025,2,C. Langdon,England,Hooker,,,,,,,,,,,,,,,,,,,,,,,
200,10/02/2025,2,R. Favretto,Italy,Second Row,,,,,,,,,,,,,,,,,,,,,,,
201,10/02/2025,2,C. Izuchukwu,Ireland,Second Row,,,,,,,,,,,,,,,,,,,,,,,
202,10/02/2025,2,A. Masibaka,Scotland,Back Row,,,,,,,,,,,,,,,,,,,,,,,
203,10/02/2025,2,C. Henderson,Scotland,Second Row,,,,,,,,,,,,,,,,,,,,,,,
204,10/02/2025,2,M. Lamothe,France,Hooker,,,,,,,,,,,,,,,,,,,,,,,
205,10/02/2025,2,C. Prendergast,Ireland,Back Row,,,,,,,,,,,,,,,,,,,,,,,
206,10/02/2025,2,J. Brennan,France,Second Row,,,,,,,,,,,,,,,,,,,,,,,
207,10/02/2025,2,W. John,Wales,Prop,,,,,,,,,,,,,,,,,,,,,,,
208,10/02/2025,2,T. Tatafu,France,Prop,,,,,,,,,,,,,,,,,,,,,,,
209,10/02/2025,2,T. Ahern,Ireland,Second Row,,,,,,,,,,,,,,,,,,,,,,,
210,10/02/2025,2,S. Bolton,Ireland,Back Three,,,,,,,,,,,,,,,,,,,,,,,
211,10/02/2025,2,S. Parry,Wales,Hooker,,,,,,,,,,,,,,,,,,,,,,,
212,10/02/2025,2,T. Hill,England,Second Row,,,,,,,,,,,,,,,,,,,,,,,
213,10/02/2025,2,E. Ferrie,Scotland,Back Row,,,,,,,,,,,,,,,,,,,,,,,
214,10/02/2025,2,M. Canali,Italy,Second Row,,,,,,,,,,,,,,,,,,,,,,,
215,10/02/2025,2,T. Di Bartolomeo,Italy,Hooker,,,,,,,,,,,,,,,,,,,,,,,
216,10/02/2025,2,T. Matiu,France,Back Row,,,,,,,,,,,,,,,,,,,,,,,
217,10/02/2025,2,E. Johnson,Scotland,Second Row,,,,,,,,,,,,,,,,,,,,,,,
218,10/02/2025,2,J. Boyle,Ireland,Prop,,,,,,,,,,,,,,,,,,,,,,,
219,10/02/2025,2,J. Aungier,Ireland,Prop,,,,,,,,,,,,,,,,,,,,,,,
220,10/02/2025,2,K. Mathias,Wales,Prop,,,,,,,,,,,,,,,,,,,,,,,
221,10/02/2025,2,G. Bertaccini,Italy,Centre,,,,,,,,,,,,,,,,,,,,,,,
222,10/02/2025,2,D. Rae,Scotland,Prop,,,,,,,,,,,,,,,,,,,,,,,
223,10/02/2025,2,J. Bhatti,Scotland,Prop,,,,,,,,,,,,,,,,,,,,,,,
224,10/02/2025,2,A. Izekor,Italy,Back Row,,,,,,,,,,,,,,,,,,,,,,,
225,10/02/2025,2,B. Warren,Wales,Prop,,,,,,,,,,,,,,,,,,,,,,,
226,10/02/2025,2,A. Opoku-Fordjour,England,Prop,,,,,,,,,,,,,,,,,,,,,,,
227,10/02/2025,1,G. Alldritt,France,Back Row,17,Back Row,80,1,90,2,1,1,,,,,3,,18,1,,,,,71,,
228,10/02/2025,1,H. Jones,Scotland,Centre,16,Centre,80,1,126,2,,3,,,,,,,5,,,,,,66,,
229,10/02/2025,1,R. Darge,Scotland,Back Row,14,Back Row,80,,53,2,3,1,,,,,5,,12,1,,,,,52,,
